Text,Label
Dato and,ORGANIZATION
THE OFFICE OF THE PRESIDENT OF BAHCESEHIR UNIVERSITY The Department of Student Affairs   NUMBER,ORGANIZATION
Language Proficlency Document Name,ORGANIZATION
TUANA OZASLAN National ID,ORGANIZATION
SCHOOL OF EDUCATIONAL SCIENCES Department,ORGANIZATION
PSYCHOLOGICAL COUNSELING AND GUIDANCE Number,ORGANIZATION
TUANA OZASLAN passed the English Proficiency Examination administered by Bahcesehir University School of Languages,ORGANIZATION
The,ORGANIZATION
Bahcesehir University English Exam corresponds to the B2 level in the Common European Framework Reference for Languages,ORGANIZATION
The medium of instruction at the University,ORGANIZATION
has been issued upon his/her request,MONEY
Meliha BEREK,PERSON
Osmanpasa Mektebl Sokak,ORGANIZATION
Besiktas,LOCATION
ISTANBUL,LOCATION
